!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
leg	этап (etáp) (m), переход (p'er'eχód) (m)
legerdemain	ловкость рук
legible	разборчивый
lemon	лимон (m)
lemon	лимон (m)
lemon balm	Лимонник, Мелисса лимонная
lemur	лемур (l'emúr) (m)
length	длина (f)
leopard	леопард (l'eopárd) (m)
leper	прокажённый (prokažónnyj)
leprosy	проказа (prokáza) (f)
lepton	лептон (l'eptón) (m)
lesser spotted woodpecker	далый дятел (dalyj djatel) " "
let down	подвести
let sleeping dogs lie	Кто старое помянет, тому глаз вон
let slip	проболтаться,проговориться
let somebody down	подвести кого-либо,разочаровать кого-либо
let's go	айда (ajdá)
let-down	крах,разочарование,провал
lethiferous	смертоносный
letter	буква (búkva) (f)
letter	письмо (pis’mó) (n)
lettuce	салат (salát) (m)
leukocyte	лейкоцит
level	получить уровень (polučít' úrov'en') /to get a level/
level	равнять (ravn'át'), выравнивать/выровнять (vyr'ávnivat'/výrovn'at')
level	ровный (róvnyj)
level	сровнять с землёй (srovn'át' s z'eml'ój) /to make level with earth/
level	уровень (úrov'en') (m)
level	уровень (úrov'en') (m), ватерпас (vaterpás) (m)
level	уровень (úrov'en') (m), степень (st'ép'en') (f)
level	уровень (úrov'en') (m), этап (etáp) (m)
lever	рычаг (ryčág) (m)
leviathan	левиафан /leviafán/ (m)
levitation	левитация
lexeme	лексема (lek
lexicography	лексикография (f)
liar	лгун (lgun) (m)
libidinous	похотливый
library	библиотека (bibliotéka) (f)
lichen	лишайник (m)
lick	вылизать
licorice	солодка (f), лакрица (f)
lid	крышка  (f)
lie	лгать (lgat’)
lie	ложь (lož’) (f)
lieutenant	лейтенант (lejtenánt) (m), поручик (porúčik) (m) "(historical)"
life	жизнь (žizn’) (f)
life	жизнь (žizn’) (f)
life	жизнь (žizn’) (f)
life	жизнь (žizn’) (f)
life	жизнь (žizn’) (f)
life	пожизненный срок (požíznennyj srok) (m)
life-buoy	спасательный круг (spasát’el’nyj krug) (m)
lifetime	продолжительность жизни (prodolžítelnost' żízni) (f) (1)
lift a finger	ударить пальцем о палец
liger	лигр (ligr) (m)
light	бледный (blédnyj) (m), светлый (sv'étlyj)
light	зажигать (zažigát’), зажечь (zažéč’), разжигать (razžigát’), разжечь (razžéč’)
light	лёгкий (ljóχkij) (m)
light	освещать (osveščát’), осветить (osvetít’)
light	свет (sv'et) (m)
light	свет (sv'et) (m)
light	свет (sv'et) (m)
light	свет (svet) (m)
light	светлый (sv'étlyj), яркий (járkij)
light side	светлая сторона (sv'étlaja storoná) (f)
lighter	зажигалка (zažigálka) (f)
lighter	лихтер (líχt'er), шаланда (šalánda) (f)
lighthouse	маяк (maják) (m)
lightsaber	световой меч /sv'etovój m'eč/ (m)
lightspeed	скорость света (f)
lignify	деревянеть, деревенеть
like	как
like	нравиться ("intransitive")
like	нравиться (nrávit's'a) ("intransitive"), любить (l'ubít')
like shooting fish in a barrel	проще пареной репы
lilac	сиреневый /sir'én'evyj/
lilac	сиреневый /sir'én'evyj/
lilac	сирень /sir'én'/ (f)
lilac	сирень /sir'én'/ (f)
lime	известь (ízv'est') (f)
lime	липа (lípa) (f)
limestone	известняк (izvestnják) (m)
linden	липа (f)
line	верёвка (v'er'óvka) (f), шнур (šnur) (m), линь (lin') (m)
line	выстраивать/выстроить (vystráivat'/výstroit') "trans.", выстраиваться/выстроиться (vystráivat's'a/výstroit's'a) "intrans."
line	выстраивать/выстроить (vystráivat'/výstroit') "trans.", выстраиваться/выстроиться (vystráivat's'a/výstroit's'a) "intrans."
line	граница (granícz) (f)
line	курс (kurs) (m), путь (put') (m), направление (napravlénije) (n)
line	линейка (lin'éjka) (f)
line	линейка (lin'éjka) (f)
line	линия (línija) (f)
line	линия (línija) (f)
line	линия (línija) (f), курс (kurs) (m)
line	линия (línija) (f), черта (čertá) (f), штрих (štriχ) (m)
line	линия (línija) (g)
line	линия связи (línija sv'ázi) (f), линия (línija) (f)
line	линовать, отмечать чертой
line	морщина (morš'ína) (f)
line	отрезок (otr'ézok) (m)
line	очередь (óčer'ed') (f)
line	реплика (r'éplika) (f)
line	ряд (r'ad) (m), строй (stroj) (m)
line	строка (stroká) (f)
line	строка (stroká) (f)
line	щеренга (šer'énga) (f)
linear algebra	лине́йная а́лгебра
linen	полотно (polotnó) (n)
linen	холст (χolst) (m)
linguistics	языкознание (n), лингвистика (f)
link	гиперссылка (f) , ссылка (f)
link	звено
link	связывать
link	связь (f)
linnet	коноплянка /konopl'ánka/ (f)
lion	лев (lyev) (m)
lion's share	львиная доля
lioness	львица (l'víca) (f)
lip	губа (gubá) (f)
lipstick	губная помада (gubnája pomáda) (f)
lipstick	губная помада (gubnája pomáda) (f)
liquid	жидкий (žídkij)
liquid	жидкость (žídkost’) (f)
liquid	ликвидный (likvídnyj)
liquorice	солодка (f), лакрица (f)
listen	слушать (slúšat’)
listen	слушать (slúšat’)
listen	слушать (slúšat’), слушаться (slúšat'sa)
listen	слышать (slýšat’)
liter	литр (litr) (m)
literal	буквальный (bukvál’nyj), дословный (doslóvnyj)
literal	буквенный (búkvennyj)
literal	точный (tóčnyj)
literature	литература "(literatura)"
lithium	литий (lítij) (m)
litmus	лакмус (m)
litre	литр (litr) (m)
little finger	мизинец (mizín'ec) (m)
little green man	зелёные человечки (zel'ónyje čelovéčki) (plural)
little owl	домовый сыч (domóvyj syč) (m)
liturgy	литургия (liturgíja) (f)
live	выживать (vyživát’)
live	жить (žit’)
live	жить (žit’), проживать (proživát’)
liver	печень (p'échen') (f)
liver	печень (p'échen') (f)
livestock	поголовье (n) (pogolóvje), скотина (skotina) (f)
living room	гостиная (gostínaja) (f)
lizard	ящерица (f)
llama	лама (láma) (f)
load	загружать
load	заряжать
loadstone	магнетит, магнитный железняк (m)
loan	заём
loan shark	ростовщик (rostovščík) (m)
lobster	омар (omár) (m), лобстер (lóbster) (m)
local	местный
localization	локализация
locative	местный падеж (méstnyj padéž) (m)
locative case	местный падеж (méstnyj padéž) (m)
lock	замо́к (zamók) (m), запо́р (zapór) (m), затво́р (zatvór) (m)
lock	затво́р (zatvór) (m)
lock	шлюз (šl'uz) (m)
locust	саранчук (sarančuk) (m)
lodging	жилище (žilíšče) (n)
lodgings	жилище (žilíšče) (n)
loess	лёсс (ljoss) (m)
log	бревно (n)
log	журнал (m)
logistics	логистика
logorrhea	логорея (logoréja) (f)
lol	ржёт (ržot)
lollygag	бездельничать
long time no see	давно не виделись,сколько лет, сколько зим
long-eared owl	ушастая сова (ušastaja sova) " "
look	внешность (f)
look	смотреть
look after	приглядывать, присматривать
look forward	ждать с нетерпением
loon	гагара /gagára/ (f)
loose	неосторожный (n'eostoróžnyj), несдержанный (n'esd'éržannyj)
loose	непривязанный (n'eprivjázannyj), неприкреплённый (n'eprikrepljónnyj)
loose	непривязанный (n'eprivázannyj), без поводка (b'ez povodká)
loose	неупакованный (n'eupakóvannyj)
loose	освобождать/освободить (osvoboždát'/osvobodít'), отвязывать/отвязать (otv'ázyvat'/otv'azát')
loose	просторный (prostórnyj), широкий (širókij)
loose	рыхлый (rýχlyj), неутрамбованный (n'eutrambóvannyj)
lord	господин (m), властитель (m), владелец (m)
lord	лорд (m)
lorry	грузовой автомобиль) (m), грузовик) (m)
lose	пoтeрять
lose	потерять
lose	потерять
lose	проиграть
lose	сбросить
loss	проигрыш (prógryš) (m) "in a game", поражение (poražénije) (n) "in a game or war", потеря (pot'ér'a) (f) "of some object"
louse	вошь (voš') (f), вши (vši) "plural"
louse	гнида (gnída) "m and f", гад (gad) "m and f", гадская кровь (gádskaja krov') "m and f"
louver	жалюзиий (n)
love	любимый (ljubímyj) (m), любимая (ljubímaja) (f)
love	любить (ljubít’)
love	любить (ljubít’)
love	любовь (ljubóv’) (f)
love	любовь (ljubóv’) (f)
love	нуль (nul’) (m)
love triangle	любовный треугольник (ljubóvnyj treugól’nik) (m)
lovebird	неразлучник (n'erazlúčnik) (m)
lover	любовник (m) (lyubovnik)
low	низкий (nízkij)
low	низкий (nízkij)
low tide	малая вода (f), низший уровень отлива (m)
luck	удача (udáča) (f), везение (v'ez'énije) (n), счастье (sčást'je) (n)
lucky	счастливый (sčastlívyj), хороший (khoróšij), удачный (udáčnyj)
lucky	удачливый (udáčlivyj)
lukewarm	прохладный (prokhládnyj), равнодушный (ravnodúšnyj)
lukewarm	тепловатый (teplovátyj), чуть тёплый (čut’ tjóplyj)
lullaby	колыбельная (песня) (f)
lumbago	люмбаго (lǔmbago)
lumberjack	лесоруб (m), вальщик леса (m), дровосек (m)
lumen	люмен (ljúmen) (m)
lumpfish	пинагор /pinagór/ (m), морской воробей /morskój vorob'éj/ (m)
lumpsucker	пинагор, воробеи морской, круглопер
lunch	обед (obéd) (m)
lunch	обедать (obédat’)
lung	лёгкое (n) (ljógkoe)
lure	блесна /bl'esná/ (f)
lure	приманка /primánka/ (f)
luteal	лютеиновая фаза (ljuteínovaja fáza) (f)
lymph	лимфа (límfa) (f)
lynching	самосуд) (m)
lynx	рысь (rys') (f)
lyrebird	лирохвост /liroχvóst/ (m)
m	м (2: m)
mace	булава (bulavá) (f), палица (pálica) (f)
mace	жезл (žezl) (m)
machine	машина
machine gun	пулемёт (pulemjót) (m)
machine translation	Машинный перевод
mackerel	скумбрия /skúmbrija/ (f), макрель /makr'él'/ (f)
macroeconomics	Макроэкономика (makroyekonomika or makrojekonomika)
macrolide	макроли́д (makrolíd) (m)
madder	крапп (krapp) (m)
madder	марена (mar'éna) (f)
madder	марена (mar'éna) (f)
magazine	журнал (žurnál) (m)
magazine	магазин (magazín) (m)
magazine	склад боеприпасов (sklad bojepripásov) (m)
magnet	магнит (m)
magnetic	магнетический (magnetíčeskij)
magnetic	магнитный (magnítnyj)
magnetic	магнитный (magnítnyj)
magnetic	магнитный (magnítnyj)
magnetism	магнетизм (magnetism) (m)
magnolia	магнолия /magnólija/ (f)
magnolia	магнолия /magnólija/ (f)
mahi-mahi	корифена (koriféna) (f)
mahogany	красное дерево (krásnoje d'ér'evo) (n) (1,2)
mail	почта (1, 2, 3, 4), кольчуга (5)
main	гла́вный (glavnyj), основно́й (osnovnoj)
main clause	главное предложение
maize	кукуруза (kukurúza) (f)
make	делать
make a mountain out of a molehill	делать из мухи слона ("to make an elephant out of a fly")
make an example of	примерно наказать
make one's skin crawl	мурашки по коже бегут
make sure	удостовериться
makeup	гримировка (grimiróvka) (f)
malaria	малярия (mal'aríja) (f)
male	мужской (mužskoj)
male	самец (saméts) (m)
mallard	обыкновенная кряква (obyknovennaja krjakva)
malleable	ковкий, пластичный
malleable	податливый, восприимчивый
mallet	киянка (kijánka) (f)
mallow	мальва /mál'va/ (f)
mama	мама (f)
mammoth	мамонт (mámont) (m)
man	мужчина (mužčína) (m)
man	фигура (figúra) (f)
man	человек (čelovék) (m)
manacle	наручники (naručniki)
manatee	ламантин (lamantín) (m)
manchester	манчестер (mančéster) (m)
mandarin orange	мандарин (mandarín) (f)
mandarin orange	мандарин (mandarín) (f)
mane	грива (gríva) (f) (1,2)
maneuver	маневр, манёвр (manjovr)
maneuver	маневрировать (manjevrirovat’)
manganese	марганец (márganets) (m)
mange	чесотка (česótka) (f)
mangle	разглаживать скалкой (razgláživat’ skálkoj)
mangle	скалка (skálka) (f)
mango	манго (mángo) (n)
mango	манго (mángo) (n)
manhattan	манхэттен (manχɛ́tten)) (m)
maniac	маньяк (man'jak) (m) (1,2)
manna	манна (mánna) (f)
manoeuvre	маневр, манёвр (manjovr)
manoeuvre	маневрировать (manjevrirovat’)
manor	особняк (osobn'ák) (m)
manor	поместье (pom'ést'je) (n)
manor	поместье (pom'ést'je) (n)
manor	поместье (pom'ést'je) (n)
manta ray	манта /mánta/ (m), морской дьявол /morskój d'jávol/ (m)
mantis	богомол (bogomól) (m)
manual	руководство (rukovódstvo) (n) (1)
manual	ручной (ručnój)
many thanks	большое спасибо
map	карта (kárta) (f)
maple	кленовый (kl'enóvyj)
maple	клён (kl'on) (m)
marabou	марабу /marabú/ (m)
march	марш (marš) (m)
march	марш (marš) (m)
march	марш (marš) (m)
march	маршировать (marširovát’)
march	ход (χod) (m), течение (tečénije) (n)
mare	кобыла (kobýla) (f)
marijuana	марихуана (marihuána) (f)
mark	марка (márka) (f)
mark	марка (márka) (f)
market	рынок (rynok) (m)
marksheiderology	маркшейдерское дело [markʃeɪderskoje djelo]
marmalade	джем (džem) (m), повидло (povídlo) (n), мармелад (marmelád) (m)
marquess	маркиз (markíz) (m)
marriage	брак (brak) (m) (1,2), свадьба (svád'ba) (f) (3)
married	женат (m), замужем (f)
marrow	кабачок (kabačók) (m)
marrow	костный мозг (kóstnyj mozg) (m)
martin	городская ласточка (gorodskája lástočka) (f)
martyr	мученик (m)
marvel	восторгаться, восхищаться, изумляться, недоумевать, удивляться
marvel	изумляться, удивляться, восхищаться
marvel	чудо (n)
mascara	тушь (tuš’) (f)
massacre	массовое убийство
mastic	мастиковое дерево (mastíkovoje d'ér'evo) (n) (1), мастика (mastíka) (f) (2,3), замазка (zamázka) (f) (3), шпаклёвка (špakl'óvka) (f)  (3)
masticate	жевать
masticate	месить
mastiff	дог (dog) (m)
mastodon	мастодонт "'m"'
materialism	материализм
mathematics	матема́тика (matema'tika)
mattress	матрац
mature	зрeлый
mauve	розовато-лиловый
may	боярышник (bojáryšnik) (m), боярышники (bojáryšniki) (p)
maybe	может быть (móžet byt’)
maybe	может быть (móžet byt’)
mayfly	подёнка (pod'ónka) (f)
mayonnaise	майонез
mayor	мэр (m) (m&amp;ecirc;r)
me	меня (menjá)
me	меня (menjá), мне (mne)
me	мне (mne)
me	мой (moj)
me	себе (sebjé)
me	я (ja)
me	я (ja)
me	я (ja)
meadow	луг
meal	еда (jedá) (f), пища (píshcha) (f), снедь (snjed') (f)
meal	мука́) (muká) (f)
mean	злой (zloj), злобный (zlóbnyj)
mean	значить (znáčit'), означать (označát')
mean	иметь в виду (im'ét' v vidú)
mean	подлый (pódlyj)
mean	средний (sr'édnij)
meaning	значение (značénije) (n) (1,2), смысл (smysl) (m) (1)
measles	корь (kor') (f)
measure up	сравниться
meat	мясо (mjáso) (n)
mechanic	механик (m'eχánik) (m)
median	медиана (f) (mediana)
median	медианный (m), медианная (f), медианное (n)
medicine	лекарство (l'ekárstvo) (n)
medicine	медицина (m'edicína) (f)
medieval	средневековый /sr'edn'ev'ekóvyj/
meditation	раздумье (n) (razdum'e)
medlar	мушмула (mušmulá) (f)
medlar	мушмула (mušmulá) (f)
medulla oblongata	продолговатый мозг (prodolgovátyj mozg) (m)
meek	мек
mega-	мега- (mega-)
megalomania	мания величия (f) (1)
megatsunami	мегацунами (megatsunámi) (n)
meitnerium	майтнерий (májtnerij) (m)
melange	всякая всячина (f)
melon	дыня (dýnya) (f)
melt	таять (tájat'), плавиться (plávit's'a)
member	член (člen) (m)
member	член (člen) (m)
member	член (člen) (m), часть тела (část' t'éla) (f)
membership	принадлежность (prinadl'éžnost') (f)
membership	членство (čl'énstvo) (n)
memorize	выучивать/выучить (vyúčivat'/výučit') (1), запоминать/запомнить (zapominát'/zapómnit') (2)
memory	воспоминание (vospominánije) (n)
memory	память (pám'at') (f)
memory	память (pám'at') (f)
memory	память (pám'at') (f)
men	мужская (mužskája)
men's room	мужская уборная (mužskája ubórnaja)
meniscus	мениск (m'enísk) (m) (1,2,3)
menorah	менора (f)
menstruation	менструальный цикл (m)
menu	меню (n) (menju)
meow	мяу (mjáu)
meow	мяукание (mjaúkanije) (n)
meow	мяукать (mjaúkat’)
merchant	торговец (torgóv'ec) (m), купец (kup'éc) (m) "obsolete"
mercury	ртуть (rtut’) (f), хидраргирум (χidrárgirum) (m)
merganser	крохаль
merlin	кречет (kr'éčet) (m)
messenger	посыльный (m) (posyul'niy)
metal detector	металлоискатель (metalloiskatelʹ)
metastasis	метастаз
meteor	метеор (meteór) (m)
meter	метр (metr) (m)
meter	счётчик (sčótčik) (m), измеритель (izmerítel’) (m)
methinks	мне кажется (mne kážetsja)
metre	метр (metr) (m)
metric	метрика (m'étrika) (f)
metric	метрический (m'etríčeskij)
metrosexual	метросексуал
micro-	микро- (mikro-)
microsecond	микросекунда (mikros'ekúnda) (f)
microwave	микроволновка (f)
microwave oven	микроволновая печь (f)
middle	середина (seredína)
middle finger	средний палец (sr'édnij pál'ec) (m)
midnight	полночь
midwife	акушер (akušér) (m), акушерка (akušérka) (f)
midwife	акушерствовать (akušérstvovat')
midwifery	акушерство (akušérstvo) (n), родовспоможение (rodovspomožénije) (n)
mignonette	резеда /r'ez'edá/ (f) (1)
migraine	мигрень (f)
mild	слабый (m), слабая (f), слабое (n)
milk	доить (doít’)
milk	молоко) (moloko) (n)
milk tooth	молочный зуб (molóčnyj zub) (m)
millennial	тысячелетний (tys'ačel'étnij)
millennium	тысячелетие
miller	мельник (mél'nik) (m)
millet	пшено (pšenó) (n)
milli-	милли- (milli-)
milliard	миллиард
milligram	миллиграмм (milligrámm) (m)
milliliter	миллилитр (millilítr) (m)
millilitre	миллилитр (millilítr) (m)
millimeter	миллиметр (millimétr) (m)
millimetre	миллиметр (millimétr) (m)
million	миллион (millión) (m)
millionaire	миллионер (millionér) (m)
millisecond	миллисекунда (f)
mind	возражать/возразить (vozražat'/vozrazít')
mind	обращать/обратить внимание (obraš'át'/obratít' vnimánije), иметь в виду (im'ét' v vidú), следить (sl'edít') "of one's manners"
mind	память (pám'at') (f)
mind	присматривать/присмотреть (prismátrivat'/prismotr'ét')
mind	разум (rázum) (m)
mind	рассудок (rassúdok) (m)
mind	ум (um) (m)
mind	ум (um) (m), разум (rázum) (m)
mind	ум (um) (m), разум (rázum) (m)
mind	ум (um) (m), разум (rázum) (m)
mine	мина (mína) (f)
mine	мой (moj)
mine	шахта (šákhta) (f), рудник (rudník) (m)
miner	шахтёр (šaχt'ór) (m)
mingle-mangle	всякая всячина (f)
minion	верный слуга "(verniy sluga - loyal servant)"
mink	норка (nórka) (f)
minnow	гольян /gol'ján/ (m)
mint	монетный двор /mon'étnyj dvor/ (m)
mint	мята /m'áta/ (f)
mint	мята /m'áta/ (f)
mint	чеканить (čekánit')
minus	минус (mínus)
minus	минус (mínus)
minus	минус (mínus), недостаток (n'edostátok)
minus	отрицательная величина (otricát'el'naja v'eličiná)
minus	отрицательный (otricát'el'nyj)
minus	с минусом (s mínusom)
minute	вести протокол (vestí protokól)
minute	минута (minúta) (f)
minute	минута (minúta) (f)
minute	минута (minúta) (f)
minute	минута (minúta) (f)
minute	протокол (protokól) (m)
mirage	мираж (m) (mirazh)
mirror	зеркало (zérkalo) (n)
mishmash	всякая всячина (f)
mission	миссия (míssija) (f)
missionary	миссионер (m), миссионерка (f)
mister	гражданин  (graždanín), господин (gospodín)
mistletoe	омела (oméla) (f)
mitigate	смягчать, уменьшать ( строгость, суровость; наказание ); умерять, сдерживать ( жар, пыл ); облегчать ( боль, страдание )
mizzle	изморось (ízmoros') (f)
mizzle	моросить (morosít')
mobile	мобильный, подвижной, передвижной
mobile phone	мобильный телефон :ru:мобильный (ru) (mobil'nyj telefon) (m), сотовый телефон :ru:сотовый (ru) (sotovyj telefon) (m)
modern	современный /sovr'em'énnyj/
modesty	скромность (skrómnost') (f)
moist	влажный (vlážnyj)
moisten	увлажнять/увлажнить (uvlažn'át'/uvlažn'ít')
moisten	увлажняться/увлажниться (uvlažn'át's'a/uvlažn'ít's'a)
moisture	влажность (vlážnost') (f) (1), влага (vlága) (f) (2)
mojibake	кракозябра (krakozjábra) (f), крокозябра (krokozjábra) (f), крюкозябра (krjukozjábra) (f), крякозябра (krjakozjábra) (f), бнопня (bnopnjá) (f), бНОПНЯ (bNOPNJÁ) (f)
molasses	меласса (melássa) (f)
mole	крот (krot) (m)
mole	мол (mol) (m)
mole	моль (mol') (m)
mole	родинка (ródinka) (f), родимое пятно (rodímoje p'atnó) (n)
molybdenum	молибден (molibdén) (m)
moment of truth	момент истины
monarch	монарх (monárkh) (m)
monastery	монастырь (monastýr') (m)
money	деньги (den’gi) (p)
mongoose	мангуст (mangúst) (m)
mongrel	дворняга /dvorn'ága/ (f)
monism	монизм (m)
monitor lizard	варан (varán) (m)
monkey	обезьяна (f) (obez’jana)
monkey wrench	разводной ключ (m)
monopoly	монополия
monotheism	монотеизм (m)
monster	изверг (ízverg) (m), чудовище (čudóvišče) (n), монстр (monstr) (m)
monster	урод (uród) (m), чудовище (čudóvišče) (n)
monster	чудовище (čudóvišče) (n), монстр (monstr) (m)
monster	чудовищный (čudóviščnyj)
monstrous	чудовищный (čudóviščnyj), отвратительный (otvratítel'nyj), монструозный (monstruóznyj)
month	месяц (mésjats) (m), месяцы (mésjatsy) (p)
moo	му (mu)
moo	мычание (myčánije) (n)
moo	мычать (myčát’)
mood	дурное настроение (durnóe nastroénie) (n), уныние (unýnie) (n)
mood	наклонение (naklonénie) (n)
mood	настроение (nastroénie) (n)
mood	настроение (nastroénie) (n)
moon	Луна (Luná) (f), месяц (mésjats) (m) "(usually a crescent moon)"
moon	месяц (mésjats) (m)
moon	спутник (spútnik) (m), луна (luná) (f)
moonrise	восход луны (vosχód luný) (m)
moonscape	лунный ландшафт (lúnnyj landšáft) (m); лунный пейзаж (lúnnyj pejzáž) (m)
moonshine	лунный свет (lúnnyj sv'et) (m); лунное сияние (n)
moonshine	самогон (samogón) (m)
moose	лось (los’) (m)
moped	мопед (mopéd) (m)
morality	этика (etika)
moratorium	мораторий "'m"'
moray	мурена (mur'éna) (f)
mordacious	язвительный
more	больше (ból'še) (1), ещё (ješ'o) (2)
morel	сморчок (smorčók) (m)
morning	утро (útro) (n)
morning glory	ипомея (ipom'éja) (f), утреннее сияние (n)
morning star	моргенштерн (morg'enštern) (m) (2)
morning, noon and night	день и ночь,круглые сутки
morose	угрюмый
morpheme	морфема (morféma) (f)
morphology	морфология (morfológija) (f)
mortal	смертный (m) (smertniy), смертная (f) (smertnaya), смертное (n) (smertnoe)
mortality	смертность (f) (smertnost')
mortar	мортира (mortíra) (f)
mortar	ступа (stúpa) (f)
mortgage	ипотека
mosque	мечеть (m'ečét') (f)
mosquito	москит (moskít) (m)
moth	моль (mol’) (f), мотылёк (motyljók) (m)
mother	мать (mat’) (f)
mother	мать (mat’) (f)
mother superior	мать-настоятельница (mat'-nastojátelnitsa) (f), игуменья (igúmen'ja) (f)
mother tongue	родной язык (rodnój jazýk) (m), родная речь (rodnája reč’) (f)
mother-in-law	"(wife’s mother-in-law)" свекровь (f); "(husband’s mother-in-law)" тёща (f)
motherboard	материнская плата (f), мама (f) (slang)
motherfucker	пидор (pídor) (m), заёба (zajóba) (m), сука (súka) (mf)
motherland	родина (ródina) (f)
motion sickness	укачивание (ukáčivanije) (n), морская болезнь (morskája bolezn') (f)
motor	мотор
motorcar	автомобиль (avtomovíl’) (m)
motorcycle	мотоцикл /motocíkl/ (m)
mouflon	муфлон (muflon) " "
mountain	гора (gorá) (f)
mouse	мышь (myš’) (f)
mouse	мышь (myš’) (f)
mouse	мышь (myš’) (f), мышка (mýška) (f)
mouse pad	корик для мыши (m), мышиный коврик (m), крысодром (m),(slang)
mouser	мышелов
mousetrap	мышеловка (f) (1)
moussaka	мусака (f)
moustache	усы (usý) (mpl)
moustachio’d	уса́тый (usátyj) (m), "noun" and "adjective"
mouth	рот (rot) (m), уста (ustá) (p) "poetic"
mouth	устье (úst’je) (n)
movie	фильм (fil’m) (m), кино (kinó) (n)
mu	мю (mju)
much	много (mnógo)
much	очень (óčen’), много (mnógo)
mucous membrane	слизистая оболочка (slízistaja obolóčka) (f), слизистая ткань (slízistaja tkan’) (f)
mucus	слизь (sliz’) (f)
mud	слякоть
mudguard	крыло (kryló) (n)
mugwort	чернобыль (chernobýl’) (m)
mulberry	тута (túta) (f), тутовое дерево (tutovóje dérevo) (n)
mulberry	шелковица (šelkovítsa) (f), тут (m)
mulch	мульча (múl’ča) (f)
mulch	мульчировать (mul’čírovat’)
mulching	мульчирование
mule	мул (mul) (m) (1), осёл (os'ól) (m)
multicellular	(mnogokletevoy)
multiplication	умножение
multiplication table	таблица умножения (tablítsa umnozhénija) (f)
mumps	заушница (zaúšnica) (f), свинка (svínka) (f)
municipality	муниципалите́т (munitsipalitét) (m)
murder	разгромить (razgromít’)
murder	убивать (ubivát’)
murder	убивать (ubivát’)
murder	убийство (ubíjstvo) (n)
murder	убийство (ubíjstvo) (n)
muscle	мышца (mýštsa) (f), мускул (múskul) (m)
muscle	мышца (mýštsa) (f), мускул (múskul) (m)
muscle	мышца (mýštsa) (f), мускул (múskul) (m)
muscles	мускулы (múskuly) (m) (p), мышцы (mýštsy) (f) (p)
muscular	мускулистый, сильный
muscular	мышечный
musculature	мускулатура
muse	муза (f) (Muza)
museum	музей
mushroom	гриб (grib) (m)
music	музыка (múzyka) (f)
musician	музыкант (m)
musk ox	овцебык (ovcebýk) (m), мускусный бык (múskusnyj byk) (m)
musket	ружьё (ružjó) (n), мушкет (mušk'ét) (m)
muskrat	ондатра /ondátra/ (f)
mussel	мидия (midiya)
mustache	усы "m pl"
mustard	горчица /gorčíca/ (f)
mustard	горчица /gorčíca/ (f)
mute	немой (nemój) (m)
mute	немой (nemój) (m)
mutton	баранина (baranina) (f)
my	мой (moj) (m)
myrtle	мирт /mirt/ (m)
mysterious	таинственный (taínstvennyj)
myth	миф (mif) (m)
myth	миф (mif) (m)
myth	миф (mif) (m)
mythology	мифология (mifológija) (f)
n	[1]: С (és); [2]: "сущ" (sooshch);  [3]: "ср" (sr), "ср. род" (sr rot)
nail	гвоздь (m) (gvozd')
nail	ноготь (m) (nógot')
nail	прибивать, приколачивать, пригвоздить ("fig.")
nail polish	лак (lak) (m)
naked	голый нагой (m), нагая (f), нагое (n)
name	выбирать / выбрать (vybirát’/výbrat’)
name	именовать / наименовать (imenovát’/naimenovát’), называть / назвать (nazyvát’/nazvát’)
name	имя (ímja) (n), имена (imená) (p)
name	имя (ímja) (n), имена (imená) (p)
name	обвинять / обвинить (obvinját’/obvinít’)
name	определять / определить (opredelját’/opredelít’), назначать / назначить (naznačát’/naznáčit’)
name	определять / определить (opredelját’/opredelít’), назначать / назначить (naznačát’/naznáčit’)
name day	именины (imeníny) (f) (p)
nanosecond	наносекунда (nanos'ekúnda) (f)
narrative	повествование (povestvovánije) (n), рассказ (rasskáz) (m)
narrow	узкий (úzkij) (m), узко (úzko)
narwhal	нарвал (m)
nationalism	национализм (natsionalizm) (m)
nature	природа (priroda) (f)
nature	природа (priroda) (f)
nature	природа (priroda) (f)
nature	природа (priroda) (f)
nausea	тошнота (tošnotaá) (f)
navel	пупок (m) (pupók)
navigator	мореплаватель (moreplávatel') (m)
navigator	штурман (štúrman) (m), навигатор (navigátor) (m)
nebula	туманность
neck	шея (šéja) (f) (1), ворот (vórot) (m) (2), горлышко (górlyško) (n) (3)
neck and neck	ноздря в ноздрю
necktie	галстук (gálstuk) (m)
nectar	нектар (n'ektár) (m) (1,2,3)
nefarious	бесчестный; нечестный, низкий; гнусный, мерзкий, подлый
negative	негатив (n'egatív) (m)
negative	отрицание (otricánije) (n)
negative	отрицательная величина (otricát'el'naja v'eličiná) (n)
negative	отрицательный (otricát'el'nyj)
negative	отрицательный (otricát'el'nyj)
neigh	ржать (ržat’)
neighbour	сосед (soséd) (m)
neodymium	неодим (neodím) (m)
neon	неон (neón) (m)
nephew	племянник (plemjánnik) (m)
nephew	племянник (plemjánnik) (m)
nephew	племянник (plemjánnik) (m)
nervous system	нервная система (nérvnaja sistéma) (f)
nest	гнездо (gnezdó) (n)
nest	гнездо (gnezdó) (n)
nest	гнездоваться (gnezdovát’sja)
nest	гнёздышко (gnjózdyško) (n)
nest	притон (pritón) (m), вертеп (vertép) (m)
